,roomid,dust,temperature,humidity,co2
513,219,48.0,21.826289000000003,7.0,668.0
514,219,52.0,21.643962,7.0,645.0
515,219,58.0,21.601062,7.0,600.0
516,219,61.0,21.601062,7.0,600.0
517,219,50.0,21.708313,7.0,668.0
518,219,57.0,21.611787,7.0,615.0
519,219,57.0,21.590336999999998,7.0,600.0
520,219,51.0,21.783389,7.0,679.0
521,219,54.0,21.568887,7.0,600.0
522,219,48.0,21.804839,7.0,680.0
523,219,51.0,21.729763000000002,7.0,661.0
524,219,48.0,21.665413,7.0,651.0
525,219,54.0,21.579612,7.0,600.0
526,219,51.0,21.751213,7.0,667.0
527,220,50.0,23.381428,64.376862,628.0
528,220,49.0,23.370703,64.39975,634.0
529,220,52.0,23.317078,63.713104,612.0
530,220,51.0,23.284902,63.911469,624.0
531,220,49.0,23.456504000000002,64.422638,618.0
532,220,50.0,23.295627,64.109833,633.0
533,220,47.0,23.424329,64.674408,634.0
534,220,48.0,23.306353,64.605743,646.0
535,220,52.0,23.295627,63.919098,622.0
536,220,50.0,23.295627,63.232452,623.0
537,220,51.0,23.295627,64.102203,628.0
538,220,50.0,23.317078,63.491852,629.0
539,220,48.0,23.413604,64.32345600000001,634.0
540,220,50.0,23.349253,64.415009,620.0
541,220,51.0,23.381428,64.34634399999999,619.0
542,220,47.0,23.413604,64.361603,633.0
543,220,46.0,23.359977999999998,64.92617800000001,645.0
544,220,47.0,23.381428,64.84225500000001,644.0
545,220,46.0,23.381428,64.949066,643.0
546,220,46.0,23.381428,65.162689,643.0
547,220,50.0,23.306353,63.63681,624.0
548,220,49.0,23.306353,64.384491,619.0
549,220,48.0,23.381428,64.32345600000001,634.0
550,220,48.0,23.295627,64.247162,632.0
551,220,50.0,23.413604,64.34634399999999,615.0
552,220,51.0,23.274176999999998,63.262969999999996,613.0
553,220,51.0,23.306353,63.255341,613.0
554,220,46.0,23.381428,64.865143,626.0
555,220,52.0,23.327803,63.369781,609.0
556,220,49.0,23.317078,64.300568,613.0
557,220,50.0,23.402878,64.422638,600.0
558,221,50.0,22.383994,66.940338,625.0
559,221,43.0,22.437620000000003,68.275482,641.0
560,221,45.0,22.405444,67.863495,609.0
561,221,44.0,22.448345,68.405182,626.0
562,221,43.0,22.50197,68.656952,603.0
563,221,43.0,22.45907,68.435699,624.0
564,221,46.0,22.383994,67.55069,622.0
565,221,48.0,22.426895000000002,67.947418,607.0
566,221,47.0,22.394719,67.482025,612.0
567,221,49.0,22.426895000000002,67.85586500000001,606.0
568,221,42.0,22.437620000000003,68.10000600000001,643.0
569,221,50.0,22.383994,67.077667,607.0
570,221,42.0,22.416169,68.183929,640.0
571,221,43.0,22.437620000000003,68.069489,626.0
572,221,49.0,22.405444,66.642792,609.0
573,221,44.0,22.448345,68.412811,626.0
574,221,47.0,22.383994,67.718536,609.0
575,221,46.0,22.383994,67.199738,619.0
576,221,48.0,22.373269,66.86404399999999,619.0
577,221,42.0,22.469795,68.626434,608.0
578,221,43.0,22.426895000000002,68.161041,643.0
579,221,49.0,22.437620000000003,67.85586500000001,616.0
580,221,45.0,22.383994,67.77194200000001,619.0
581,221,43.0,22.426895000000002,68.145782,648.0
582,221,45.0,22.448345,68.405182,627.0
583,221,46.0,22.405444,67.260773,616.0
584,221,42.0,22.426895000000002,68.1763,640.0
585,221,45.0,22.45907,68.084747,612.0
586,221,42.0,22.416169,68.168671,635.0
587,221,48.0,22.383994,66.719086,615.0
588,221,42.0,22.416169,68.092377,633.0
589,222,55.0,22.512695,66.84115600000001,650.0
590,222,50.0,22.362544,67.90164200000001,655.0
591,222,60.0,22.469795,67.138702,625.0
592,222,57.0,22.416169,67.52780200000001,624.0
593,222,52.0,22.426895000000002,67.680389,650.0
594,222,53.0,22.448345,67.993195,637.0
595,222,59.0,22.426895000000002,67.657501,614.0
596,222,53.0,22.437620000000003,67.64224200000001,646.0
597,222,53.0,22.394719,67.817719,650.0
598,222,52.0,22.480520000000002,68.03134200000001,638.0
599,222,59.0,22.426895000000002,66.673309,604.0
600,222,61.0,22.491245000000003,66.139252,609.0
601,222,53.0,22.416169,68.473846,613.0
602,222,59.0,22.394719,67.993195,604.0
603,222,60.0,22.480520000000002,66.757233,617.0
604,222,48.0,22.416169,67.787201,651.0
